city,district,rooms,rent,address,construct_year,housing_type,on_sale,size
TAMPERE,Hervanta,1,625.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,2,900.00,Louhoskuja 4 A,2023,block_of_flats,False,51.00
TAMPERE,Hervanta,1,625.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,3,1060.00,Louhoskuja 4 A,2023,block_of_flats,False,56.50
TAMPERE,Hervanta,1,630.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,1,630.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,2,910.00,Louhoskuja 4 A,2023,block_of_flats,False,51.00
TAMPERE,Hervanta,2,780.00,Louhoskuja 4 A,2023,block_of_flats,False,38.50
ESPOO,Espoon keskus,1,690.00,Segersveninkatu 6 B,,block_of_flats,False,27.00
HELSINKI,Jätkäsaari,2,1234.00,Tyynenmerenkatu 5 C,2012,block_of_flats,False,48.00
HYVINKÄÄ,Hangonsilta,2,814.00,Astreankatu 5 C,2020,block_of_flats,False,46.00
ESPOO,Tiistilä,2,964.00,KALAONNENTIE 3 D,1995,block_of_flats,False,50.50
VANTAA,Leinelä,1,780.00,Leinelän puistotie 12 C,2017,block_of_flats,False,34.50
LAPPEENRANTA,Pikisaari,4,1039.00,Pikisaarenkatu 40 as,1997,block_of_flats,False,86.50
TAMPERE,Hervanta,1,641.00,Atomikatu 6 B,1976,block_of_flats,False,32.00
TURKU,Keskusta,2,1005.00,Yliopistonkatu 12a B,1957,block_of_flats,False,62.00
TURKU,Iso-Heikkilä,2,744.00,Kanslerintie 15 B,2018,block_of_flats,False,41.50
LAHTI,Metsäkangas,2,670.00,Valjaskatu 1 D,1974,block_of_flats,False,59.50
JYVÄSKYLÄ,Kortepohja,2,740.00,Wilhelm Schildtin katu 13 B,1999,loft_house,False,52.50
HELSINKI,Aurinkolahti,2,942.00,Jauhajankuja 2 B,2012,block_of_flats,False,42.50
LAHTI,Kärpänen,2,669.00,Kiekkokatu 1-3 C,1977,block_of_flats,False,59.00
TAMPERE,Santalahti,1,511.00,Paperitehtaanraitti 13 B,2020,block_of_flats,False,22.00
OULU,Peltola,2,712.00,Peltolantie 18 B,2010,block_of_flats,False,39.00
MIKKELI,Graani,2,833.00,Graanintie 27 B,2016,block_of_flats,False,46.00
VANTAA,Myyrmäki,2,813.00,Loiskekuja 4 D,2016,block_of_flats,False,49.50
KOTKA,Ruonala,1,305.00,Pihkapolku 1 A,1968,block_of_flats,False,23.00
KUOPIO,Saaristokaupunki,2,789.00,Kanavanranta 3 A,2015,block_of_flats,False,45.00
HELSINKI,Lauttasaari,1,1145.00,Itälahdenkatu 21 A,1985,block_of_flats,False,50.50
HELSINKI,Herttoniemi,1,661.00,Hiihtäjäntie 7 B,1973,block_of_flats,False,23.50
LAHTI,Jalkaranta,3,791.00,Kiikkulankatu 9 D,1971,block_of_flats,False,70.00
HELSINKI,Katajanokka,1,978.00,Kruunuvuorenkatu 2 D,2019,block_of_flats,False,31.00
VANTAA,Veromies,3,985.00,Perintötie 3 G,2021,block_of_flats,False,50.50
HELSINKI,Itäkeskus,3,1305.00,Vanhanlinnantie 3 I,2011,block_of_flats,False,81.50
HELSINKI,Lauttasaari,4,1649.00,Vattuniemenkatu 16a D,1972,block_of_flats,False,95.00
HELSINKI,Kamppi,1,943.00,Malminkatu 36 B,1928,block_of_flats,False,44.50
TAMPERE,Keskusta,1,750.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,32.00
VAASA,Ristinummi,1,355.00,Vanhan Vaasan katu 12-14 E,1974,block_of_flats,False,32.00
HELSINKI,Kallio,2,999.00,Alppikatu 3 B,1964,block_of_flats,False,56.50
TAMPERE,Annala,2,699.00,Annalankatu 6 B,1974,block_of_flats,False,51.50
ESPOO,Vermonniitty,2,899.00,Kaarlo Sarkian katu 10 C,2020,block_of_flats,False,40.50
ESPOO,Tiistilä,2,965.00,KALAONNENTIE 3 B,1995,block_of_flats,False,51.00
JYVÄSKYLÄ,Keltinmäki,2,660.00,Keltinmäentie 27 D,1974,block_of_flats,False,50.00
VANTAA,Hämeenkylä,2,871.00,Kolmikallionkuja 1 C,2015,block_of_flats,False,43.50
ESPOO,Matinkylä,3,1500.00,Maailman-Matti 2 B,2002,block_of_flats,False,77.00
PORI,Riihiketo,2,585.00,Ratalinnankatu 12 A,1946,block_of_flats,False,66.00
VANTAA,Tikkurila,2,970.00,Talvikkitie 7 B,2019,block_of_flats,False,44.50
TAMPERE,Niemenranta,2,705.00,Pikkuniemenkatu 4 A,2019,block_of_flats,False,43.50
KIRKKONUMMI,Tolsa,2,770.00,Tarutie 18 B,2019,block_of_flats,False,40.00
LAPPEENRANTA,Sammonlahti,2,649.00,Liesharjunkatu 7 C,1982,block_of_flats,False,56.00
LOHJA,Anttila,3,940.00,Linnaistenkatu 11 B,1975,block_of_flats,False,80.00
KERAVA,Ahjo,3,898.00,Moukaritie 7 A,2011,block_of_flats,False,71.50
JOENSUU,Penttilä,2,712.00,Penttilänkatu 63 D,1977,block_of_flats,False,58.00
TAMPERE,Keskusta,1,730.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,30.50
TAMPERE,Keskusta,2,915.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,42.00
ESPOO,Espoonlahti,1,783.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,27.50
OULU,Keskusta,2,735.00,Hallituskatu 25 A,1958,block_of_flats,False,57.50
KIRKKONUMMI,Tolsa,2,767.00,Tarutie 18 B,2019,block_of_flats,False,40.00
VANTAA,Viertola,2,875.00,Koisotie 2 B,,block_of_flats,False,50.50
TAMPERE,Keskusta,1,716.00,Puuvillatehtaankatu 6 C,2022,block_of_flats,False,28.50
HELSINKI,Kuninkaantammi,2,916.00,Taidemaalarinkatu 5 C,2016,block_of_flats,False,44.00
HELSINKI,Roihuvuori,1,640.00,Roihuvuorentie 20 J,1956,block_of_flats,False,20.50
KERAVA,Keskusta,1,710.00,Seunalantie 7 A,2023,block_of_flats,False,34.00
KERAVA,Keskusta,2,955.00,Seunalantie 7 A,2023,block_of_flats,False,53.00
KERAVA,Keskusta,1,750.00,Seunalantie 7 A,2023,block_of_flats,False,35.50
TUUSULA,Sula,1,660.00,Bostoninkaari 6 B,2022,block_of_flats,False,28.50
HÄMEENLINNA,Keskusta,2,833.00,Kaivokatu 9 B,2014,block_of_flats,False,47.50
TAMPERE,Niemenranta,2,755.00,Kalkkikatu 3 A,2016,block_of_flats,False,45.00
OULU,Laanila,2,514.00,Laamannintie 15 B,1957,block_of_flats,False,47.00
TURKU,Martti,1,660.00,Merimiehenkatu 7 B,1996,block_of_flats,False,38.50
HELSINKI,Haaga,2,1009.00,Näyttelijäntie 22 B,1959,block_of_flats,False,50.00
HELSINKI,Roihuvuori,2,902.00,Roihuvuorentie 20 K,1956,block_of_flats,False,51.00
HELSINKI,Lauttasaari,2,1222.00,Vattuniemenkuja 8 A,2011,block_of_flats,False,51.00
HELSINKI,Kallio,1,976.00,Viides linja 4 A,1926,block_of_flats,False,42.40
HELSINKI,Latokartano,2,1041.00,Von Daehnin katu 12 B,2012,block_of_flats,False,49.00
ESPOO,Niittykumpu,4,1595.00,Niittykatu 10 C,2020,block_of_flats,False,83.50
TAMPERE,Niemenranta,2,762.00,Raamikatu 10 A,2018,block_of_flats,False,43.00
TAMPERE,Santalahti,1,619.00,Rantatie 29 A,2022,block_of_flats,False,25.50
VANTAA,Hiekkaharju,2,834.00,Sipulitie 1 R,2010,block_of_flats,False,43.50
JYVÄSKYLÄ,Kekkola,1,704.00,Tanhukaari 6 A 0,2007,block_of_flats,False,48.00
HELSINKI,Kannelmäki,3,1201.00,Vanhaistentie 1 c A,2022,block_of_flats,False,52.00
PORI,Sampola,2,488.00,Annikintie 20 A,1979,block_of_flats,False,52.50
ESPOO,Pohjois-Tapiola,4,1685.00,Metsänpojankuja 5 B,2021,block_of_flats,False,82.50
HELSINKI,Vuosaari,1,882.00,Satamasaarentie 5 B,2019,block_of_flats,False,37.50
ESPOO,Vermonniitty,3,1252.00,Kaarlo Sarkian katu 10 C,2020,block_of_flats,False,60.00
OULU,Laanila,2,679.00,Laamannintie 7 C,2001,block_of_flats,False,47.00
ESPOO,Matinkylä,2,923.00,Nelikkokuja 5 A,2004,block_of_flats,False,38.00
OULU,Laanila,2,599.00,Laamannintie 10 A,1952,block_of_flats,False,53.00
KERAVA,Jaakkola,2,870.00,Palopellonkatu 8 B,2021,block_of_flats,False,51.00
VANTAA,Veromies,1,700.00,Perintötie 4c A,2022,block_of_flats,False,30.50
TAMPERE,Keskusta,2,915.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,42.00
TAMPERE,Keskusta,1,725.00,Puuvillatehtaankatu 6 F,2023,block_of_flats,False,31.50
KANTVIK,Kantvik,2,662.00,Kummihovi I,1973,block_of_flats,False,57.00
TAMPERE,Santalahti,1,665.00,Rantakylänraitti 3 A,2019,block_of_flats,False,28.00
OULU,Limingantulli,1,620.00,Rautatienkatu 78 A,2015,block_of_flats,False,29.50
JYVÄSKYLÄ,Kekkola,2,798.00,Tanhukaari 6 A 0,2007,block_of_flats,False,53.00
JYVÄSKYLÄ,Kortepohja,2,635.00,Wilhelm Schildtin katu 12 A,1997,block_of_flats,False,37.00
KOTKA,Keskusta,2,834.00,Pohjoispuistokatu 3 A,2008,block_of_flats,False,56.50
HELSINKI,Pitäjänmäki,2,808.00,KOKKOKALLIONTIE 3 E,1974,block_of_flats,False,33.50
HELSINKI,Roihuvuori,3,1291.00,TUHKIMONTIE 3-5 A,1960,block_of_flats,False,68.50
ESPOO,Mäkkylä,4,1649.00,Adjutantinkatu 3 C,2012,block_of_flats,False,80.00
TURKU,Kirstinpuisto,3,1100.00,Nuutintie 7 A,2021,block_of_flats,False,67.50
HELSINKI,Vallila,2,1083.00,Päijänteentie 4-6 E,1953,block_of_flats,False,47.00
TURKU,Linnanfältti,2,905.00,Raitiokuja 3 B,2018,block_of_flats,False,55.50
HÄMEENLINNA,Keskusta,2,769.00,Kaivokatu 3 A,2014,block_of_flats,False,50.00
KAJAANI,Keskusta,2,799.00,Kirkkokatu 15 B,1960,block_of_flats,False,58.00
VANTAA,Hämeenkylä,2,997.00,Kolmikallionkuja 1 C,2015,block_of_flats,False,50.00
VANTAA,Hämeenkylä,2,965.00,Kolmikallionkuja 1 D,2015,block_of_flats,False,50.00
HELSINKI,Kallio,3,1393.00,Neljäs linja 3-5 A,1946,block_of_flats,False,61.50
HELSINKI,Aurinkolahti,3,1330.00,Gustav Pauligin katu 5a A,2022,block_of_flats,False,64.50
HELSINKI,Oulunkylä,3,1297.00,Siltavoudintie 1 A,1965,block_of_flats,False,71.00
HELSINKI,Pitäjänmäki,2,950.00,PITÄJÄNMÄENTIE 35 O,1978,block_of_flats,False,57.50
HELSINKI,Pasila,2,1135.00,Postiljooninkatu 17 B,2020,block_of_flats,False,49.50
TURKU,Vähäheikkilä,1,656.00,Vähäheikkiläntie 37 A,2022,block_of_flats,False,31.00
VANTAA,Veromies,1,735.00,Perintötie 3 H,2021,block_of_flats,False,32.50
OULU,Limingantulli,3,1015.00,Rautatienkatu 72 B,2012,block_of_flats,False,66.50
HELSINKI,Maunula,2,977.00,Suonotkontie 4 B,1963,block_of_flats,False,50.50
TURKU,Kupittaa,1,710.00,Vanha Littoistentie 12 A,2018,block_of_flats,False,34.00
JYVÄSKYLÄ,Keskusta,2,858.00,Yliopistonkatu 18 C,1961,block_of_flats,False,49.50
HELSINKI,Pitäjänmäki,1,802.00,Kokkokalliontie 9 J,2014,block_of_flats,False,34.50
JÄRVENPÄÄ,Pajala,2,845.00,Kaskitie 1 B,2022,block_of_flats,False,46.50
ESPOO,Kauniainen,2,900.00,Ullanmäentie 10 C F,2021,block_of_flats,False,43.00
